Report_Data_Extracted,PHU_Num,PHU,LTC_Homes_with_Active_Outbreak,LTC_Homes_with_Resolved_Outbreak,Confirmed_Active_LTC_Resident_Cases,Confirmed_Active_LTC_HCW_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Deaths
2020-04-24,2226,ALGOMA,0,0,0,0,0,0
2020-04-24,2227,BRANT,2,0,28,34,23,0
2020-04-24,2230,DURHAM,7,1,243,88,71,0
2020-04-24,2233,GREY-BRUCE,2,0,22,7,0,0
2020-04-24,2234,HALDIMAND-NORFOLK,0,1,0,0,0,0
2020-04-24,2235,HALIBURTON KAWARTHA PR,1,0,33,32,29,0
2020-04-24,2236,HALTON,4,1,2,4,0,0
2020-04-24,2237,HAMILTON,3,2,13,3,4,0
2020-04-24,2238,HASTINGS PRINCE EDWARD,2,1,10,5,0,0
2020-04-24,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-04-24,2241,KINGSTON FRONTENAC L & A,1,0,1,0,0,0
2020-04-24,2242,LAMBTON,2,0,0,3,0,0
2020-04-24,2243,"LEEDS,GRENVILLE,LANARK",3,0,94,32,30,0
2020-04-24,2244,MIDDLESEX-LONDON,4,3,15,10,8,0
2020-04-24,2246,NIAGARA,4,3,44,30,10,0
2020-04-24,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-04-24,2249,NORTHWESTERN,0,0,0,0,0,0
2020-04-24,2251,OTTAWA,11,1,145,76,33,0
2020-04-24,2253,PEEL,14,0,296,112,29,0
2020-04-24,2255,PETERBOROUGH,1,1,4,2,0,0
2020-04-24,2256,PORCUPINE,0,1,0,0,0,0
2020-04-24,2257,RENFREW,0,1,0,0,0,0
2020-04-24,2258,EASTERN ONTARIO,4,0,0,6,0,0
2020-04-24,2260,SIMCOE-MUSKOKA,3,1,20,12,7,0
2020-04-24,2261,SUDBURY,1,0,1,1,0,0
2020-04-24,2262,THUNDER BAY,0,0,0,0,0,0
2020-04-24,2263,TIMISKAMING,0,0,0,0,0,0
2020-04-24,2265,WATERLOO,5,3,165,90,27,0
2020-04-24,2266,WELLINGTON-DUFFERIN-GUELPH,4,1,22,10,6,0
2020-04-24,2268,WINDSOR-ESSEX,4,3,68,27,20,0
2020-04-24,2270,YORK REGION,12,1,140,59,34,0
2020-04-24,3895,TORONTO,49,5,1086,469,292,1
2020-04-24,4913,SOUTH WEST,1,0,0,1,0,0
2020-04-24,5183,Huron Perth,1,1,3,7,2,0
2020-04-25,2226,ALGOMA,0,0,0,0,0,0
2020-04-25,2227,BRANT,2,0,28,34,23,0
2020-04-25,2230,DURHAM,7,1,224,88,75,0
2020-04-25,2233,GREY-BRUCE,2,0,22,7,0,0
2020-04-25,2234,HALDIMAND-NORFOLK,0,1,0,0,0,0
2020-04-25,2235,HALIBURTON KAWARTHA PR,1,0,33,32,29,0
2020-04-25,2236,HALTON,4,1,2,4,0,0
2020-04-25,2237,HAMILTON,3,2,13,3,4,0
2020-04-25,2238,HASTINGS PRINCE EDWARD,2,1,10,5,0,0
2020-04-25,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-04-25,2241,KINGSTON FRONTENAC L & A,1,0,1,0,0,0
2020-04-25,2242,LAMBTON,2,0,0,3,0,0
2020-04-25,2243,"LEEDS,GRENVILLE,LANARK",3,0,94,32,30,0
2020-04-25,2244,MIDDLESEX-LONDON,4,3,15,10,8,0
2020-04-25,2246,NIAGARA,4,3,44,30,10,0
2020-04-25,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-04-25,2249,NORTHWESTERN,0,0,0,0,0,0
2020-04-25,2251,OTTAWA,11,1,172,94,34,0
2020-04-25,2253,PEEL,14,0,298,113,29,0
2020-04-25,2255,PETERBOROUGH,1,1,4,2,0,0
2020-04-25,2256,PORCUPINE,0,1,0,0,0,0
2020-04-25,2257,RENFREW,0,1,0,0,0,0
2020-04-25,2258,EASTERN ONTARIO,3,1,8,5,0,0
2020-04-25,2260,SIMCOE-MUSKOKA,4,1,20,13,7,0
2020-04-25,2261,SUDBURY,1,0,1,1,0,0
2020-04-25,2262,THUNDER BAY,0,0,0,0,0,0
2020-04-25,2263,TIMISKAMING,0,0,0,0,0,0
2020-04-25,2265,WATERLOO,5,3,161,90,31,0
2020-04-25,2266,WELLINGTON-DUFFERIN-GUELPH,5,1,22,11,6,0
2020-04-25,2268,WINDSOR-ESSEX,4,3,68,27,20,0
2020-04-25,2270,YORK REGION,12,1,155,68,39,0
2020-04-25,3895,TORONTO,50,4,1122,481,307,1
2020-04-25,4913,SOUTH WEST,1,0,0,1,0,0
2020-04-25,5183,Huron Perth,1,1,3,7,2,0
2020-04-26,2226,ALGOMA,0,0,0,0,0,0
2020-04-26,2227,BRANT,2,0,28,34,23,0
2020-04-26,2230,DURHAM,7,1,224,103,80,0
2020-04-26,2233,GREY-BRUCE,2,0,22,7,0,0
2020-04-26,2234,HALDIMAND-NORFOLK,1,1,0,1,0,0
2020-04-26,2235,HALIBURTON KAWARTHA PR,1,0,33,32,29,0
2020-04-26,2236,HALTON,4,1,2,4,0,0
2020-04-26,2237,HAMILTON,3,2,13,3,4,0
2020-04-26,2238,HASTINGS PRINCE EDWARD,2,1,10,5,0,0
2020-04-26,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-04-26,2241,KINGSTON FRONTENAC L & A,1,0,1,0,0,0
2020-04-26,2242,LAMBTON,2,0,0,3,0,0
2020-04-26,2243,"LEEDS,GRENVILLE,LANARK",3,0,94,32,30,0
2020-04-26,2244,MIDDLESEX-LONDON,5,3,16,10,8,0
2020-04-26,2246,NIAGARA,4,3,44,30,10,0
2020-04-26,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-04-26,2249,NORTHWESTERN,0,0,0,0,0,0
2020-04-26,2251,OTTAWA,10,2,171,91,37,0
2020-04-26,2253,PEEL,14,0,300,113,30,0
2020-04-26,2255,PETERBOROUGH,1,1,4,2,0,0
2020-04-26,2256,PORCUPINE,0,1,0,0,0,0
2020-04-26,2257,RENFREW,0,1,0,0,0,0
2020-04-26,2258,EASTERN ONTARIO,3,1,8,5,0,0
2020-04-26,2260,SIMCOE-MUSKOKA,4,1,20,13,7,0
2020-04-26,2261,SUDBURY,1,0,1,1,0,0
2020-04-26,2262,THUNDER BAY,0,0,0,0,0,0
2020-04-26,2263,TIMISKAMING,0,0,0,0,0,0
2020-04-26,2265,WATERLOO,5,3,161,90,31,0
2020-04-26,2266,WELLINGTON-DUFFERIN-GUELPH,5,1,22,11,6,0
2020-04-26,2268,WINDSOR-ESSEX,4,3,68,27,20,0
2020-04-26,2270,YORK REGION,12,1,153,68,44,0
2020-04-26,3895,TORONTO,52,4,1125,494,310,1
2020-04-26,4913,SOUTH WEST,1,0,0,1,0,0
2020-04-26,5183,Huron Perth,1,1,3,7,2,0
2020-04-27,2226,ALGOMA,0,0,0,0,0,0
2020-04-27,2227,BRANT,3,0,29,34,23,0
2020-04-27,2230,DURHAM,7,1,213,103,83,0
2020-04-27,2233,GREY-BRUCE,2,0,22,7,0,0
2020-04-27,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-04-27,2235,HALIBURTON KAWARTHA PR,2,0,39,38,29,0
2020-04-27,2236,HALTON,4,1,2,4,0,0
2020-04-27,2237,HAMILTON,3,2,14,4,6,0
2020-04-27,2238,HASTINGS PRINCE EDWARD,2,1,10,5,0,0
2020-04-27,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-04-27,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-04-27,2242,LAMBTON,2,0,3,3,0,0
2020-04-27,2243,"LEEDS,GRENVILLE,LANARK",2,0,95,29,31,0
2020-04-27,2244,MIDDLESEX-LONDON,5,3,15,10,9,0
2020-04-27,2246,NIAGARA,3,4,42,29,11,0
2020-04-27,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-04-27,2249,NORTHWESTERN,0,0,0,0,0,0
2020-04-27,2251,OTTAWA,11,1,172,92,37,0
2020-04-27,2253,PEEL,14,0,301,113,30,0
2020-04-27,2255,PETERBOROUGH,2,1,4,3,0,0
2020-04-27,2256,PORCUPINE,0,1,0,0,0,0
2020-04-27,2257,RENFREW,0,1,0,0,0,0
2020-04-27,2258,EASTERN ONTARIO,3,1,8,5,0,0
2020-04-27,2260,SIMCOE-MUSKOKA,4,1,20,13,7,0
2020-04-27,2261,SUDBURY,2,0,2,1,0,0
2020-04-27,2262,THUNDER BAY,0,0,0,0,0,0
2020-04-27,2263,TIMISKAMING,0,0,0,0,0,0
2020-04-27,2265,WATERLOO,5,3,180,93,38,0
2020-04-27,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,21,12,6,0
2020-04-27,2268,WINDSOR-ESSEX,3,4,65,29,22,0
2020-04-27,2270,YORK REGION,12,1,154,71,46,0
2020-04-27,3895,TORONTO,52,4,1076,495,325,1
2020-04-27,4913,SOUTH WEST,1,0,0,1,0,0
2020-04-27,5183,Huron Perth,2,1,4,7,2,0
2020-04-28,2226,ALGOMA,0,0,0,0,0,0
2020-04-28,2227,BRANT,3,0,29,34,23,0
2020-04-28,2230,DURHAM,7,1,212,104,84,0
2020-04-28,2233,GREY-BRUCE,2,0,22,9,0,0
2020-04-28,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-04-28,2235,HALIBURTON KAWARTHA PR,2,0,39,38,29,0
2020-04-28,2236,HALTON,4,1,2,4,0,0
2020-04-28,2237,HAMILTON,3,3,5,2,6,0
2020-04-28,2238,HASTINGS PRINCE EDWARD,2,1,9,6,1,0
2020-04-28,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-04-28,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-04-28,2242,LAMBTON,3,0,3,4,0,0
2020-04-28,2243,"LEEDS,GRENVILLE,LANARK",2,0,95,29,31,0
2020-04-28,2244,MIDDLESEX-LONDON,5,3,15,10,9,0
2020-04-28,2246,NIAGARA,3,4,42,29,11,0
2020-04-28,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-04-28,2249,NORTHWESTERN,0,0,0,0,0,0
2020-04-28,2251,OTTAWA,11,1,280,162,63,0
2020-04-28,2253,PEEL,14,0,302,120,32,0
2020-04-28,2255,PETERBOROUGH,2,1,4,3,0,0
2020-04-28,2256,PORCUPINE,0,1,0,0,0,0
2020-04-28,2257,RENFREW,0,1,0,0,0,0
2020-04-28,2258,EASTERN ONTARIO,2,1,8,4,0,0
2020-04-28,2260,SIMCOE-MUSKOKA,4,1,20,14,7,0
2020-04-28,2261,SUDBURY,2,0,4,5,0,0
2020-04-28,2262,THUNDER BAY,0,0,0,0,0,0
2020-04-28,2263,TIMISKAMING,0,0,0,0,0,0
2020-04-28,2265,WATERLOO,6,4,191,96,45,0
2020-04-28,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,21,12,6,0
2020-04-28,2268,WINDSOR-ESSEX,5,2,65,34,31,0
2020-04-28,2270,YORK REGION,13,1,162,71,46,0
2020-04-28,3895,TORONTO,53,4,1098,559,349,1
2020-04-28,4913,SOUTH WEST,1,0,0,1,0,0
2020-04-28,5183,Huron Perth,2,1,4,7,2,0
2020-04-29,2226,ALGOMA,0,0,0,0,0,0
2020-04-29,2227,BRANT,3,0,29,33,23,0
2020-04-29,2230,DURHAM,7,1,212,108,90,0
2020-04-29,2233,GREY-BRUCE,2,0,22,9,0,0
2020-04-29,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-04-29,2235,HALIBURTON KAWARTHA PR,2,0,39,38,29,0
2020-04-29,2236,HALTON,4,1,2,4,0,0
2020-04-29,2237,HAMILTON,3,3,5,4,6,0
2020-04-29,2238,HASTINGS PRINCE EDWARD,3,1,20,6,2,0
2020-04-29,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-04-29,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-04-29,2242,LAMBTON,2,1,3,3,0,0
2020-04-29,2243,"LEEDS,GRENVILLE,LANARK",2,0,95,31,31,0
2020-04-29,2244,MIDDLESEX-LONDON,5,3,20,11,9,0
2020-04-29,2246,NIAGARA,3,4,31,15,13,0
2020-04-29,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-04-29,2249,NORTHWESTERN,0,0,0,0,0,0
2020-04-29,2251,OTTAWA,12,1,300,178,70,0
2020-04-29,2253,PEEL,14,0,316,133,48,0
2020-04-29,2255,PETERBOROUGH,2,1,10,3,0,0
2020-04-29,2256,PORCUPINE,0,1,0,0,0,0
2020-04-29,2257,RENFREW,0,1,0,0,0,0
2020-04-29,2258,EASTERN ONTARIO,2,1,8,4,0,0
2020-04-29,2260,SIMCOE-MUSKOKA,4,1,10,8,8,0
2020-04-29,2261,SUDBURY,3,0,4,6,0,0
2020-04-29,2262,THUNDER BAY,0,0,0,0,0,0
2020-04-29,2263,TIMISKAMING,0,0,0,0,0,0
2020-04-29,2265,WATERLOO,8,3,192,101,44,0
2020-04-29,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,20,10,7,0
2020-04-29,2268,WINDSOR-ESSEX,5,2,53,34,31,0
2020-04-29,2270,YORK REGION,13,1,166,69,49,0
2020-04-29,3895,TORONTO,53,4,1056,616,371,1
2020-04-29,4913,SOUTH WEST,1,0,0,1,0,0
2020-04-29,5183,Huron Perth,2,1,1,1,4,0
2020-04-30,2226,ALGOMA,0,0,0,0,0,0
2020-04-30,2227,BRANT,3,0,29,34,23,0
2020-04-30,2230,DURHAM,6,2,209,109,94,0
2020-04-30,2233,GREY-BRUCE,2,0,2,5,0,0
2020-04-30,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-04-30,2235,HALIBURTON KAWARTHA PR,2,0,39,39,29,0
2020-04-30,2236,HALTON,4,1,2,4,0,0
2020-04-30,2237,HAMILTON,3,3,5,4,6,0
2020-04-30,2238,HASTINGS PRINCE EDWARD,3,1,20,6,2,0
2020-04-30,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-04-30,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-04-30,2242,LAMBTON,2,1,3,3,0,0
2020-04-30,2243,"LEEDS,GRENVILLE,LANARK",2,0,95,31,31,0
2020-04-30,2244,MIDDLESEX-LONDON,5,3,20,11,9,0
2020-04-30,2246,NIAGARA,3,4,30,15,13,0
2020-04-30,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-04-30,2249,NORTHWESTERN,0,0,0,0,0,0
2020-04-30,2251,OTTAWA,13,1,323,188,77,0
2020-04-30,2253,PEEL,14,0,322,134,48,0
2020-04-30,2255,PETERBOROUGH,2,1,10,3,0,0
2020-04-30,2256,PORCUPINE,0,1,0,0,0,0
2020-04-30,2257,RENFREW,0,1,0,0,0,0
2020-04-30,2258,EASTERN ONTARIO,2,1,8,4,0,0
2020-04-30,2260,SIMCOE-MUSKOKA,4,1,17,11,8,0
2020-04-30,2261,SUDBURY,3,0,4,6,0,0
2020-04-30,2262,THUNDER BAY,0,0,0,0,0,0
2020-04-30,2263,TIMISKAMING,2,0,3,3,0,0
2020-04-30,2265,WATERLOO,8,3,201,102,44,0
2020-04-30,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,20,10,7,0
2020-04-30,2268,WINDSOR-ESSEX,5,2,50,34,31,0
2020-04-30,2270,YORK REGION,13,1,215,88,57,0
2020-04-30,3895,TORONTO,54,4,1094,632,378,1
2020-04-30,4913,SOUTH WEST,1,0,0,1,0,0
2020-04-30,5183,Huron Perth,2,1,1,1,4,0
2020-05-01,2226,ALGOMA,0,0,0,0,0,0
2020-05-01,2227,BRANT,3,0,29,27,23,0
2020-05-01,2230,DURHAM,7,2,203,111,99,0
2020-05-01,2233,GREY-BRUCE,1,0,0,3,0,0
2020-05-01,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-05-01,2235,HALIBURTON KAWARTHA PR,2,0,39,39,29,0
2020-05-01,2236,HALTON,4,1,2,5,0,0
2020-05-01,2237,HAMILTON,3,3,5,4,6,0
2020-05-01,2238,HASTINGS PRINCE EDWARD,3,1,20,6,2,0
2020-05-01,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-05-01,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-05-01,2242,LAMBTON,2,1,3,3,0,0
2020-05-01,2243,"LEEDS,GRENVILLE,LANARK",2,0,87,30,31,0
2020-05-01,2244,MIDDLESEX-LONDON,5,3,20,11,9,0
2020-05-01,2246,NIAGARA,3,4,19,12,15,0
2020-05-01,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-05-01,2249,NORTHWESTERN,0,0,0,0,0,0
2020-05-01,2251,OTTAWA,13,1,323,195,79,0
2020-05-01,2253,PEEL,14,0,342,142,51,1
2020-05-01,2255,PETERBOROUGH,2,1,10,3,0,0
2020-05-01,2256,PORCUPINE,0,1,0,0,0,0
2020-05-01,2257,RENFREW,0,1,0,0,0,0
2020-05-01,2258,EASTERN ONTARIO,1,2,8,3,0,0
2020-05-01,2260,SIMCOE-MUSKOKA,4,1,16,11,9,0
2020-05-01,2261,SUDBURY,3,0,3,6,1,0
2020-05-01,2262,THUNDER BAY,0,0,0,0,0,0
2020-05-01,2263,TIMISKAMING,2,0,3,3,0,0
2020-05-01,2265,WATERLOO,8,3,188,100,47,0
2020-05-01,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,45,21,13,0
2020-05-01,2268,WINDSOR-ESSEX,5,2,50,35,31,0
2020-05-01,2270,YORK REGION,12,1,188,77,56,0
2020-05-01,3895,TORONTO,56,4,1078,687,405,1
2020-05-01,4913,SOUTH WEST,1,0,0,1,0,0
2020-05-01,5183,Huron Perth,3,1,1,2,4,0
2020-05-02,2226,ALGOMA,0,0,0,0,0,0
2020-05-02,2227,BRANT,3,0,29,27,23,0
2020-05-02,2230,DURHAM,6,3,202,101,100,0
2020-05-02,2233,GREY-BRUCE,1,0,0,3,0,0
2020-05-02,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-05-02,2235,HALIBURTON KAWARTHA PR,2,0,39,39,29,0
2020-05-02,2236,HALTON,4,1,4,5,0,0
2020-05-02,2237,HAMILTON,3,3,5,4,6,0
2020-05-02,2238,HASTINGS PRINCE EDWARD,3,1,20,6,2,0
2020-05-02,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-05-02,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-05-02,2242,LAMBTON,2,1,3,3,0,0
2020-05-02,2243,"LEEDS,GRENVILLE,LANARK",2,0,87,30,31,0
2020-05-02,2244,MIDDLESEX-LONDON,5,3,17,19,11,0
2020-05-02,2246,NIAGARA,3,4,19,12,15,0
2020-05-02,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-05-02,2249,NORTHWESTERN,0,0,0,0,0,0
2020-05-02,2251,OTTAWA,13,1,324,211,93,0
2020-05-02,2253,PEEL,14,0,375,152,59,1
2020-05-02,2255,PETERBOROUGH,2,1,1,4,0,0
2020-05-02,2256,PORCUPINE,0,1,0,0,0,0
2020-05-02,2257,RENFREW,0,1,0,0,0,0
2020-05-02,2258,EASTERN ONTARIO,2,2,10,3,0,0
2020-05-02,2260,SIMCOE-MUSKOKA,4,1,16,11,9,0
2020-05-02,2261,SUDBURY,4,0,3,7,1,0
2020-05-02,2262,THUNDER BAY,0,0,0,0,0,0
2020-05-02,2263,TIMISKAMING,2,0,3,3,0,0
2020-05-02,2265,WATERLOO,8,3,187,101,49,0
2020-05-02,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,45,26,16,0
2020-05-02,2268,WINDSOR-ESSEX,5,2,50,35,31,0
2020-05-02,2270,YORK REGION,12,1,193,81,58,0
2020-05-02,3895,TORONTO,58,3,1086,704,417,1
2020-05-02,4913,SOUTH WEST,1,0,0,1,0,0
2020-05-02,5183,Huron Perth,3,1,1,2,4,0
2020-05-03,2226,ALGOMA,0,0,0,0,0,0
2020-05-03,2227,BRANT,3,0,29,27,23,0
2020-05-03,2230,DURHAM,6,3,202,101,100,0
2020-05-03,2233,GREY-BRUCE,2,1,7,3,2,0
2020-05-03,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-05-03,2235,HALIBURTON KAWARTHA PR,2,0,39,39,29,0
2020-05-03,2236,HALTON,4,1,4,5,0,0
2020-05-03,2237,HAMILTON,4,2,8,4,6,0
2020-05-03,2238,HASTINGS PRINCE EDWARD,3,1,20,6,2,0
2020-05-03,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-05-03,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-05-03,2242,LAMBTON,2,1,3,3,0,0
2020-05-03,2243,"LEEDS,GRENVILLE,LANARK",2,1,96,25,30,0
2020-05-03,2244,MIDDLESEX-LONDON,5,3,17,19,11,0
2020-05-03,2246,NIAGARA,3,4,19,12,15,0
2020-05-03,2247,NORTH BAY-PARRY SOUND,0,0,0,0,0,0
2020-05-03,2249,NORTHWESTERN,0,0,0,0,0,0
2020-05-03,2251,OTTAWA,14,1,319,212,97,0
2020-05-03,2253,PEEL,14,0,369,158,62,1
2020-05-03,2255,PETERBOROUGH,2,1,1,3,0,0
2020-05-03,2256,PORCUPINE,0,1,0,0,0,0
2020-05-03,2257,RENFREW,0,1,0,0,0,0
2020-05-03,2258,EASTERN ONTARIO,2,2,10,3,0,0
2020-05-03,2260,SIMCOE-MUSKOKA,4,1,16,11,9,0
2020-05-03,2261,SUDBURY,4,0,3,7,1,0
2020-05-03,2262,THUNDER BAY,1,0,0,1,0,0
2020-05-03,2263,TIMISKAMING,2,0,3,3,0,0
2020-05-03,2265,WATERLOO,9,3,199,105,51,0
2020-05-03,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,45,25,16,0
2020-05-03,2268,WINDSOR-ESSEX,5,2,50,35,31,0
2020-05-03,2270,YORK REGION,12,1,193,81,58,0
2020-05-03,3895,TORONTO,58,3,1098,724,425,2
2020-05-03,4913,SOUTH WEST,1,0,0,1,0,0
2020-05-03,5183,Huron Perth,3,1,1,2,4,0
2020-05-04,2226,ALGOMA,0,0,0,0,0,0
2020-05-04,2227,BRANT,3,0,29,27,23,0
2020-05-04,2230,DURHAM,6,3,202,101,100,0
2020-05-04,2233,GREY-BRUCE,2,1,1,3,0,0
2020-05-04,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-05-04,2235,HALIBURTON KAWARTHA PR,2,0,39,39,29,0
2020-05-04,2236,HALTON,3,2,4,4,0,0
2020-05-04,2237,HAMILTON,4,2,8,4,6,0
2020-05-04,2238,HASTINGS PRINCE EDWARD,3,1,20,6,2,0
2020-05-04,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-05-04,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-05-04,2242,LAMBTON,2,1,3,3,1,0
2020-05-04,2243,"LEEDS,GRENVILLE,LANARK",2,1,87,19,32,0
2020-05-04,2244,MIDDLESEX-LONDON,5,3,17,19,11,0
2020-05-04,2246,NIAGARA,2,5,13,8,15,0
2020-05-04,2247,NORTH BAY-PARRY SOUND,1,0,1,0,0,0
2020-05-04,2249,NORTHWESTERN,0,0,0,0,0,0
2020-05-04,2251,OTTAWA,14,1,341,212,104,0
2020-05-04,2253,PEEL,14,0,370,159,62,1
2020-05-04,2255,PETERBOROUGH,2,1,1,4,0,0
2020-05-04,2256,PORCUPINE,0,1,0,0,0,0
2020-05-04,2257,RENFREW,0,1,0,0,0,0
2020-05-04,2258,EASTERN ONTARIO,2,1,13,3,2,0
2020-05-04,2260,SIMCOE-MUSKOKA,4,1,16,11,9,0
2020-05-04,2261,SUDBURY,4,0,3,7,1,0
2020-05-04,2262,THUNDER BAY,1,0,0,1,0,0
2020-05-04,2263,TIMISKAMING,2,0,3,3,0,0
2020-05-04,2265,WATERLOO,9,3,196,106,55,0
2020-05-04,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,45,25,16,0
2020-05-04,2268,WINDSOR-ESSEX,6,1,48,32,32,0
2020-05-04,2270,YORK REGION,12,1,189,83,62,0
2020-05-04,3895,TORONTO,58,3,1090,727,437,2
2020-05-04,4913,SOUTH WEST,1,0,0,1,0,0
2020-05-04,5183,Huron Perth,3,1,1,2,4,0
2020-05-05,2226,ALGOMA,0,0,0,0,0,0
2020-05-05,2227,BRANT,3,0,29,31,23,0
2020-05-05,2230,DURHAM,6,3,186,97,104,0
2020-05-05,2233,GREY-BRUCE,2,1,1,3,0,0
2020-05-05,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-05-05,2235,HALIBURTON KAWARTHA PR,2,0,34,34,29,0
2020-05-05,2236,HALTON,3,2,4,4,0,0
2020-05-05,2237,HAMILTON,2,4,6,3,6,0
2020-05-05,2238,HASTINGS PRINCE EDWARD,2,2,7,6,3,0
2020-05-05,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-05-05,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-05-05,2242,LAMBTON,3,1,3,5,1,0
2020-05-05,2243,"LEEDS,GRENVILLE,LANARK",2,1,87,19,32,0
2020-05-05,2244,MIDDLESEX-LONDON,6,3,17,22,11,0
2020-05-05,2246,NIAGARA,2,5,12,8,16,0
2020-05-05,2247,NORTH BAY-PARRY SOUND,1,0,1,0,0,0
2020-05-05,2249,NORTHWESTERN,0,0,0,0,0,0
2020-05-05,2251,OTTAWA,15,1,347,222,110,0
2020-05-05,2253,PEEL,14,0,402,160,86,1
2020-05-05,2255,PETERBOROUGH,2,1,1,4,0,0
2020-05-05,2256,PORCUPINE,0,1,0,0,0,0
2020-05-05,2257,RENFREW,0,1,0,0,0,0
2020-05-05,2258,EASTERN ONTARIO,2,1,11,3,2,0
2020-05-05,2260,SIMCOE-MUSKOKA,4,1,22,12,10,0
2020-05-05,2261,SUDBURY,4,0,3,7,1,0
2020-05-05,2262,THUNDER BAY,1,0,0,1,0,0
2020-05-05,2263,TIMISKAMING,2,0,3,3,0,0
2020-05-05,2265,WATERLOO,9,3,202,110,60,0
2020-05-05,2266,WELLINGTON-DUFFERIN-GUELPH,6,1,43,28,17,0
2020-05-05,2268,WINDSOR-ESSEX,6,1,57,28,38,0
2020-05-05,2270,YORK REGION,12,1,204,103,69,0
2020-05-05,3895,TORONTO,57,4,1136,701,452,2
2020-05-05,4913,SOUTH WEST,1,0,0,1,0,0
2020-05-05,5183,Huron Perth,3,1,1,2,4,0
2020-05-06,2226,ALGOMA,0,0,0,0,0,0
2020-05-06,2227,BRANT,3,0,29,31,23,0
2020-05-06,2230,DURHAM,6,3,183,96,106,0
2020-05-06,2233,GREY-BRUCE,2,1,1,3,0,0
2020-05-06,2234,HALDIMAND-NORFOLK,2,1,0,4,0,0
2020-05-06,2235,HALIBURTON KAWARTHA PR,2,0,34,34,29,0
2020-05-06,2236,HALTON,2,3,3,5,0,0
2020-05-06,2237,HAMILTON,3,3,12,3,6,0
2020-05-06,2238,HASTINGS PRINCE EDWARD,3,2,8,6,3,0
2020-05-06,2240,CHATHAM-KENT,0,0,0,0,0,0
2020-05-06,2241,KINGSTON FRONTENAC L & A,0,1,0,0,0,0
2020-05-06,2242,LAMBTON,3,1,3,5,1,0
2020-05-06,2243,"LEEDS,GRENVILLE,LANARK",2,1,87,19,32,0
2020-05-06,2244,MIDDLESEX-LONDON,6,3,19,23,11,0
2020-05-06,2246,NIAGARA,2,5,1,8,16,0
2020-05-06,2247,NORTH BAY-PARRY SOUND,1,0,1,0,0,0
2020-05-06,2249,NORTHWESTERN,0,0,0,0,0,0
2020-05-06,2251,OTTAWA,15,1,345,225,116,0
2020-05-06,2253,PEEL,14,0,407,166,94,1
2020-05-06,2255,PETERBOROUGH,2,1,1,3,0,0
